h_id,h_name,sd_name,d_name
1,Chikkodi,Chikkodi,Belagavi
2,Sadalaga,Chikkodi,Belagavi
3,Nagaramunnoli,Chikkodi,Belagavi
4,Anantapura,Athani,Belagavi
5,Telasanga,Athani,Belagavi
6,Athani,Athani,Belagavi
7,Rayabaga,Raibag,Belagavi
8,Kudachi,Raibag,Belagavi
9,Gokaka,Gokak,Belagavi
10,Kowjalagi,Gokak,Belagavi
11,Hukkeri,Hukkeri,Belagavi
12,Yamakanamardi,Hukkeri,Belagavi
13,Sankeshvara,Hukkeri,Belagavi
14,Bagevadi,Belagavi,Belagavi
15,Kakati,Belagavi,Belagavi
16,Uchaganva,Belagavi,Belagavi
17,Belagavi,Belagavi,Belagavi
18,Khanapura,Khanapur,Belagavi
19,Beedi,Khanapur,Belagavi
20,Gunji,Khanapur,Belagavi
21,Jamboti,Khanapur,Belagavi
22,Savadatti,Savadatti,Belagavi
23,Munavalli,Savadatti,Belagavi
24,Muragoda,Savadatti,Belagavi
25,Bailahongala,Bailhongal,Belagavi
26,Nesaragi,Bailhongal,Belagavi
27,Surebana,Ramadurg,Belagavi
28,Katakola,Ramadurg,Belagavi
29,Mudakavi,Ramadurg,Belagavi
30,K chandaragi,Ramadurg,Belagavi
31,Kittura,Kitthuru,Belagavi
32,Sadalaga,Nippani,Belagavi
33,Nippani,Nippani,Belagavi
34,Kagavada,Kagavada,Belagavi
35,Arabhanvi,Mudalagi,Belagavi
36,Kowjalagi,Mudalagi,Belagavi
37,Yaragatti,Yaragatti,Belagavi
38,Bijapura,Bijapur,Vijayapura
39,Nagatana,Bijapur,Vijayapura
40,Indi,Indi,Vijayapura
41,Ballolli,Indi,Vijayapura
42,Sindagi,Sindagi,Vijayapura
43,Ba bagevadi,Basavan Bagewadi,Vijayapura
44,Ho hipparagi,Basavan Bagewadi,Vijayapura
45,Managuli,Basavan Bagewadi,Vijayapura
46,Muddebihala,Muddebihal,Vijayapura
47,Davalagi,Muddebihal,Vijayapura
48,Nalatavada,Muddebihal,Vijayapura
49,Nidagundi,Nidagundi,Vijayapura
50,Babaleshvara,Babaleshwara,Vijayapura
51,Mamadapura,Babaleshwara,Vijayapura
52,Chadachana,Chadachana,Vijayapura
53,Davalagi,Talikote,Vijayapura
54,Talikoti,Talikote,Vijayapura
55,Devara hipparagi,Talikote,Vijayapura
56,Ho hipparagi,Talikote,Vijayapura
57,Tikota,Tikota,Vijayapura
58,Kolhara,Kolhara,Vijayapura
59,Sindagi,Devara Hipparagi,Vijayapura
60,Ho hipparagi,Devara Hipparagi,Vijayapura
61,Devara hipparagi,Devara Hipparagi,Vijayapura
62,Alamela,Alamela,Vijayapura
63,Basavakalyana,Basavakalyan,Bidar
64,Mantala,Basavakalyan,Bidar
65,Rajeshvara,Basavakalyan,Bidar
66,Mudabi,Basavakalyan,Bidar
67,Kohinura,Basavakalyan,Bidar
68,Bhalki,Bhalki,Bidar
69,Sayaganva,Bhalki,Bidar
70,Nitturabh,Bhalki,Bidar
71,Khataka chinchuli,Bhalki,Bidar
72,Lakhanaganva,Bhalki,Bidar
73,Halabarga,Bhalki,Bidar
74,Owradabi,Aurad,Bidar
75,Chintaki,Aurad,Bidar
76,Santapura,Aurad,Bidar
77,Beedara uttara,Bidar,Bidar
78,Beedaradakshina,Bidar,Bidar
79,Mannalli,Bidar,Bidar
80,Bagadala,Bidar,Bidar
81,Kamatana,Bidar,Bidar
82,Janavada,Bidar,Bidar
83,Humanabada,Humnabad,Bidar
84,Hallilikhedabi,Humnabad,Bidar
85,Dubalagundi,Humnabad,Bidar
86,Chitaguppa,Chittaguppa,Bidar
87,Nirna,Chittaguppa,Bidar
88,Bemalakheda,Chittaguppa,Bidar
89,Tanakusanura,Kamalanagara,Bidar
90,Kamalanagara,Kamalanagara,Bidar
91,Dabaka,Kamalanagara,Bidar
92,Hulasura,Hulasuru,Bidar
93,Lingasuguru,Lingasugur,Raichur
94,Gurugunta,Lingasugur,Raichur
95,Mudagal,Lingasugur,Raichur
96,Devadurga,Devdurga,Raichur
97,Arakera,Devdurga,Raichur
98,Jalahalli,Devdurga,Raichur
99,Gabburu,Devdurga,Raichur
100,Gillesuguru,Raichur,Raichur
101,Chandrabanda,Raichur,Raichur
102,Kalamala,Raichur,Raichur
103,Devasuguru,Raichur,Raichur
104,Yaragera,Raichur,Raichur
105,Rayachuru,Raichur,Raichur
106,Manavi,Manvi,Raichur
107,Hirekotnikala,Manvi,Raichur
108,Kurdi,Manvi,Raichur
109,Sindhanura,Sindhanur,Raichur
110,Salgunda,Sindhanur,Raichur
111,Huda,Sindhanur,Raichur
112,Gorebala,Sindhanur,Raichur
113,Jalihala,Sindhanur,Raichur
114,Javalagera,Sindhanur,Raichur
115,Kunnatagi,Sindhanur,Raichur
116,Valkandinni,Sindhanur,Raichur
117,Badarli,Sindhanur,Raichur
118,Hedaginala,Sindhanur,Raichur
119,Gunjalli,Sindhanur,Raichur
120,Turvihala,Sindhanur,Raichur
121,Lingasuguru,Maski,Raichur
122,Maski,Maski,Raichur
123,Halapura,Maski,Raichur
124,Pamanakallura,Maski,Raichur
125,Balaganura,Maski,Raichur
126,Gunjalli,Maski,Raichur
127,Turvihala,Maski,Raichur
128,Gudadura,Maski,Raichur
129,Kalluru,Sirivara,Raichur
130,Mallata,Sirivara,Raichur
131,Siravara,Sirivara,Raichur
132,Kavitala,Sirivara,Raichur
133,Yalaburga,Yelburga,Koppal
134,Hirevankalakunta,Yelburga,Koppal
135,Kushtagi,Kushtagi,Koppal
136,Tavaragera,Kushtagi,Koppal
137,Hanamasagara,Kushtagi,Koppal
138,Hanamanala,Kushtagi,Koppal
139,Venkatagiri,Gangavathi,Koppal
140,Marali,Gangavathi,Koppal
141,Gangavati,Gangavathi,Koppal
142,Koppala,koppal,Koppal
143,Alavandi,koppal,Koppal
144,Irakallagada,koppal,Koppal
145,Hitnala,koppal,Koppal
146,Karatagi,Karatagi,Koppal
147,Siddapura,Karatagi,Koppal
148,Kukanura,Kukanuru,Koppal
149,Mangaluru,Kukanuru,Koppal
150,Hulihaidara,Kanakagiri,Koppal
151,Navali,Kanakagiri,Koppal
152,Kanakagiri,Kanakagiri,Koppal
153,Naragunda,Naragund,Gadag
154,Konnura,Naragund,Gadag
155,Rona,Rona,Gadag
156,Naregalla,Rona,Gadag
157,Holealura,Rona,Gadag
158,Gadaga,Gadag,Gadag
159,Betageri,Gadag,Gadag
160,Shirahatti,Shirahatti,Gadag
161,Lakshmeshvara,Shirahatti,Gadag
162,Mundaragi,Mundargi,Gadag
163,Dambala,Mundargi,Gadag
164,Rona,Gajendragad,Gadag
165,Naregalla,Gajendragad,Gadag
166,Lakshmeshvara,Laxmeshwar,Gadag
167,Garaga,Dharwad,Dharwad
168,Dharavada,Dharwad,Dharwad
169,Amminabavi,Dharwad,Dharwad
170,Moraba,Navalgund,Dharwad
171,Hubballi,Hubli,Dharwad
172,Chabbi,Hubli,Dharwad
173,Shiraguppi,Hubli,Dharwad
174,Kalaghatagi,Kalgatgi,Dharwad
175,Tabakadahonnihalli,Kalgatgi,Dharwad
176,Dhummavada,Kalgatgi,Dharwad
177,Kundagola,Kundgol,Dharwad
178,Sanshi,Kundgol,Dharwad
179,Hubballi,Hubballi Nagara,Dharwad
180,Chabbi,Hubballi Nagara,Dharwad
181,Alnavara,Alnavara,Dharwad
182,Annigeri,Annigere,Dharwad
183,Bada,Karwar,Uttara Kannada
184,Ghadasayi,Karwar,Uttara Kannada
185,Kinnara,Karwar,Uttara Kannada
186,Savantavada,Karwar,Uttara Kannada
187,Supa,Joida,Uttara Kannada
188,Kumbaravada,Joida,Uttara Kannada
189,Kyasalarak,Joida,Uttara Kannada
190,Sambrani,Haliyal,Uttara Kannada
191,Haliyala,Haliyal,Uttara Kannada
192,Murkavada,Haliyal,Uttara Kannada
193,Yallapura,Yellapur,Uttara Kannada
194,Manchikeri,Yellapur,Uttara Kannada
195,Mundagoda,Mundgod,Uttara Kannada
196,Pala,Mundgod,Uttara Kannada
197,Shirasi,Sirsi,Uttara Kannada
198,Banavasi,Sirsi,Uttara Kannada
199,Sampakhanda,Sirsi,Uttara Kannada
200,Hulekal,Sirsi,Uttara Kannada
201,Ankola,Ankola,Uttara Kannada
202,Belekeri,Ankola,Uttara Kannada
203,Basagoda,Ankola,Uttara Kannada
204,Balale,Ankola,Uttara Kannada
205,Kujalli,Kumta,Uttara Kannada
206,Kumata,Kumta,Uttara Kannada
207,Mirjana,Kumta,Uttara Kannada
208,Gokarna,Kumta,Uttara Kannada
209,Kondli,Siddapur,Uttara Kannada
210,Umbalamane,Siddapur,Uttara Kannada
211,Kodkani,Siddapur,Uttara Kannada
212,Honnavara,Honnavar,Uttara Kannada
213,Mavinakurva,Honnavar,Uttara Kannada
214,Manki,Honnavar,Uttara Kannada
215,Mavalli,Bhatkal,Uttara Kannada
216,Susagadi,Bhatkal,Uttara Kannada
217,Dandeli,Dandelli,Uttara Kannada
218,Shigganva,Shiggaon,Haveri
219,Dundashi,Shiggaon,Haveri
220,Bankapura,Shiggaon,Haveri
221,Savanura,Savanur,Haveri
222,Hattimattura,Savanur,Haveri
223,Hanagalla,Hangal,Haveri
224,Akkialura,Hangal,Haveri
225,Bammanalli,Hangal,Haveri
226,Haveri,Haveri,Haveri
227,Karajagi,Haveri,Haveri
228,Guttala,Haveri,Haveri
229,Byadagi,Byadagi,Haveri
230,Kaginelli,Byadagi,Haveri
231,Hirekerura,Hirekerur,Haveri
232,Hansabhavi,Hirekerur,Haveri
233,Ranebennura,Ranebennur,Haveri
234,Kuppelura,Ranebennur,Haveri
235,Medleri,Ranebennur,Haveri
236,Hirekerura,Ratteehalli,Haveri
237,Ratteehalli,Ratteehalli,Haveri
238,Siruguppa,Siraguppa,Ballari
239,Hachcholli,Siraguppa,Ballari
240,Karuru,Siraguppa,Ballari
241,Tekkalakote,Siraguppa,Ballari
242,Ballari,Ballari,Ballari
243,Kurugodu,Ballari,Ballari
244,Koluru,Ballari,Ballari
245,Moka,Ballari,Ballari
246,Rupanagudi,Ballari,Ballari
247,Sanduru,Sonduru,Ballari
248,Toranagallu,Sonduru,Ballari
249,Choranuru,Sonduru,Ballari
250,Kurugodu,Kurugodu,Ballari
251,Koluru,Kurugodu,Ballari
252,Kurugodu,Kampli,Ballari
253,Kampli,Kampli,Ballari
254,Kasaba,Molakalmuru,Chitradurga
255,Devasamudra,Molakalmuru,Chitradurga
256,Kasaba,Challakere,Chitradurga
257,Parashura0pura,Challakere,Chitradurga
258,Talaku,Challakere,Chitradurga
259,Nayakanahatti,Challakere,Chitradurga
260,Kasaba,Chitradurga,Chitradurga
261,Bharamasagara,Chitradurga,Chitradurga
262,Turuvanuru,Chitradurga,Chitradurga
263,Hireguntanuru,Chitradurga,Chitradurga
264,Beedurga,Holalkere,Chitradurga
265,Kasaba,Holalkere,Chitradurga
266,Ramagiri,Holalkere,Chitradurga
267,Talya,Holalkere,Chitradurga
268,Kasaba,Hosadurga,Chitradurga
269,Madadakere,Hosadurga,Chitradurga
270,Mattodu,Hosadurga,Chitradurga
271,Shreerampura,Hosadurga,Chitradurga
272,Kasaba,Hiriyur,Chitradurga
273,Aimangala,Hiriyur,Chitradurga
274,Dharmapura,Hiriyur,Chitradurga
275,J g halli,Hiriyur,Chitradurga
276,Kasaba,Harihar,Davanagere
277,Malebennuru,Harihar,Davanagere
278,Kasaba,Jagaluru,Davanagere
279,Bilichodu,Jagaluru,Davanagere
280,Sokke,Jagaluru,Davanagere
281,Kasaba,Davanagere,Davanagere
282,Anagodu,Davanagere,Davanagere
283,Mayakonda,Davanagere,Davanagere
284,Sasvehalli-2,Honnali,Davanagere
285,Kasaba,Honnali,Davanagere
286,Sasvehalli-1,Honnali,Davanagere
287,Govinakovi-2,Honnali,Davanagere
288,Basavapattana-1,Channagiri,Davanagere
289,Basavapattana-2,Channagiri,Davanagere
290,Kasaba,Channagiri,Davanagere
291,Santebennuru-1,Channagiri,Davanagere
292,Santebennuru-2,Channagiri,Davanagere
293,Ubrani,Channagiri,Davanagere
294,Govinakovi-1,Nyamati,Davanagere
295,Belagutti,Nyamati,Davanagere
296,Kasaba,Sagara,Shivamogga
297,Talaguppa,Sagara,Shivamogga
298,Barangi,Sagara,Shivamogga
299,Anandapura,Sagara,Shivamogga
300,Avinahalli,Sagara,Shivamogga
301,Karuru,Sagara,Shivamogga
302,Kasaba,Soraba,Shivamogga
303,Kuppagadde,Soraba,Shivamogga
304,Chandragutti,Soraba,Shivamogga
305,Ulavi,Soraba,Shivamogga
306,Jade,Soraba,Shivamogga
307,Anavatti,Soraba,Shivamogga
308,Kasaba,Shikaripura,Shivamogga
309,Udugani,Shikaripura,Shivamogga
310,Talagunda,Shikaripura,Shivamogga
311,Hosuru,Shikaripura,Shivamogga
312,Anjanapura,Shikaripura,Shivamogga
313,Kasaba,Hosanagar,Shivamogga
314,Nagara,Hosanagar,Shivamogga
315,Kerehalli,Hosanagar,Shivamogga
316,Huncha,Hosanagar,Shivamogga
317,Kasaba,Thirthahalli,Shivamogga
318,Mutturu,Thirthahalli,Shivamogga
319,Agumbe,Thirthahalli,Shivamogga
320,Mandagadde,Thirthahalli,Shivamogga
321,Agrahara,Thirthahalli,Shivamogga
322,Kasabaai,Shimoga,Shivamogga
323,Kasabaaiai,Shimoga,Shivamogga
324,Nidigeai,Shimoga,Shivamogga
325,Nidigeaiai,Shimoga,Shivamogga
326,Holaluruai,Shimoga,Shivamogga
327,Holaluraaiai,Shimoga,Shivamogga
328,Kunsi,Shimoga,Shivamogga
329,Haranahalli,Shimoga,Shivamogga
330,Ayanuru,Shimoga,Shivamogga
331,Kasaba ai,Bhadravathi,Shivamogga
332,Kasaba aiai,Bhadravathi,Shivamogga
333,Kudligere,Bhadravathi,Shivamogga
334,Holehonnuru ai,Bhadravathi,Shivamogga
335,Holehonnuru aiai,Bhadravathi,Shivamogga
336,Holehonnuru aiaiai,Bhadravathi,Shivamogga
337,Kundapura,Kundapur,Udupi
338,Vandse,Kundapur,Udupi
339,Udupi,Udupi,Udupi
340,Ajekaru,Karkala,Udupi
341,Karkala,Karkala,Udupi
342,Bainduru,Bynduru,Udupi
343,Kota,Bramhavara,Udupi
344,Brahmavara,Bramhavara,Udupi
345,Kapu,Kapu,Udupi
346,Ajekaru,Hebri,Udupi
347,Kundapura,Hebri,Udupi
348,Kasaba,Sringeri,Chikkamagaluru
349,Kigga,Sringeri,Chikkamagaluru
350,Kasaba,Koppa,Chikkamagaluru
351,Hariharapura,Koppa,Chikkamagaluru
352,Megunda,Koppa,Chikkamagaluru
353,Kasaba,Narasimharajapura,Chikkamagaluru
354,Balehonnuru,Narasimharajapura,Chikkamagaluru
355,Kasaba,Tarikere,Chikkamagaluru
356,Lakkavalli,Tarikere,Chikkamagaluru
357,Lingadahalli,Tarikere,Chikkamagaluru
358,Amrutapura,Tarikere,Chikkamagaluru
359,Kasaba,Kadur,Chikkamagaluru
360,Beeruru,Kadur,Chikkamagaluru
361,Yagati,Kadur,Chikkamagaluru
362,Hirenalluru,Kadur,Chikkamagaluru
363,Singatagere,Kadur,Chikkamagaluru
364,Sakharayapattana,Kadur,Chikkamagaluru
365,Panchanahalli,Kadur,Chikkamagaluru
366,Kasaba,Chikmagalur,Chikkamagaluru
367,Ambale,Chikmagalur,Chikkamagaluru
368,Vastare,Chikmagalur,Chikkamagaluru
369,Avati,Chikmagalur,Chikkamagaluru
370,Jagara,Chikmagalur,Chikkamagaluru
371,Alduru,Chikmagalur,Chikkamagaluru
372,Khandya,Chikmagalur,Chikkamagaluru
373,Lakya,Chikmagalur,Chikkamagaluru
374,Kasaba,Mudigere,Chikkamagaluru
375,Baluru,Mudigere,Chikkamagaluru
376,Gonibeedu,Mudigere,Chikkamagaluru
377,Banakal,Mudigere,Chikkamagaluru
378,Ajjampura,Ajjampura,Chikkamagaluru
379,Shivani,Ajjampura,Chikkamagaluru
380,Chowlahiriyur,Ajjampura,Chikkamagaluru
381,Kalasa,Kalasa,Chikkamagaluru
382,Kasaba,Chiknayakanahalli,Tumakuru
383,Kandikere,Chiknayakanahalli,Tumakuru
384,Shettikere,Chiknayakanahalli,Tumakuru
385,Handanakere,Chiknayakanahalli,Tumakuru
386,Huliyaru,Chiknayakanahalli,Tumakuru
387,Kasaba,Sira,Tumakuru
388,Kallambella,Sira,Tumakuru
389,Gowdagere,Sira,Tumakuru
390,Hulikunte,Sira,Tumakuru
391,Bukkapattana,Sira,Tumakuru
392,Kasaba,Pavagada,Tumakuru
393,Nagalamadike,Pavagada,Tumakuru
394,Nidagal hobali,Pavagada,Tumakuru
395,Y n hosakote,Pavagada,Tumakuru
396,Dodderi,Madhugiri,Tumakuru
397,Ai d halli,Madhugiri,Tumakuru
398,Kodigenahalli,Madhugiri,Tumakuru
399,Puravara,Madhugiri,Tumakuru
400,Kasaba,Madhugiri,Tumakuru
401,Midigeshi,Madhugiri,Tumakuru
402,Kasaba,Koratagere,Tumakuru
403,Channarayanadurga,Koratagere,Tumakuru
404,Holavanahalli,Koratagere,Tumakuru
405,Kolala,Koratagere,Tumakuru
406,Hebburu,Tumkur,Tumakuru
407,Bellavi,Tumkur,Tumakuru
408,Guluru,Tumkur,Tumakuru
409,Urdigere,Tumkur,Tumakuru
410,Kora,Tumkur,Tumakuru
411,Kasaba north,Tumkur,Tumakuru
412,Kasaba south,Tumkur,Tumakuru
413,Kasaba east,Tumkur,Tumakuru
414,Kasaba west,Tumkur,Tumakuru
415,Kasaba,Gubbi,Tumakuru
416,Nitturu,Gubbi,Tumakuru
417,Cheluru,Gubbi,Tumakuru
418,Kadaba,Gubbi,Tumakuru
419,Hagalavadi,Gubbi,Tumakuru
420,C s pura,Gubbi,Tumakuru
421,Kasaba,Tiptur,Tumakuru
422,Honnavalli,Tiptur,Tumakuru
423,Kibbanahalli,Tiptur,Tumakuru
424,Nonavinakere,Tiptur,Tumakuru
